varible_name,method,"AffinityPropagation(damping=0.999, random_state=0)","AgglomerativeClustering(metric='euclidean', n_clusters=13)","KMeans(n_clusters=13, n_init='auto', random_state=0)",MeanShift(bandwidth=2.3),"SpectralClustering(assign_labels='discretize', n_clusters=13, random_state=0)"
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,CLUSTER_28,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
"training_score,val_score",sklearn.model_selection.validation_curve,CLUSTER_28,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
"train_sizes,train_scores,test_scores",sklearn.model_selection.learning_curve,CLUSTER_28,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
cv,sklearn.model_selection.ShuffleSplit,CLUSTER_28,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
start,time.time,CLUSTER_28,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
start,time.time,CLUSTER_28,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
grid_search,sklearn.model_selection.GridSearchCV,CLUSTER_28,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
mlp,sklearn.neural_network.MLPClassifier,CLUSTER_28,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
mlp_final,sklearn.neural_network.MLPClassifier,CLUSTER_28,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
mlp,sklearn.neural_network.MLPClassifier,CLUSTER_28,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
clf,sklearn.naive_bayes.GaussianNB,CLUSTER_10,CLUSTER_4,CLUSTER_10,CLUSTER_0,CLUSTER_1
clf,sklearn.naive_bayes.GaussianNB,CLUSTER_10,CLUSTER_4,CLUSTER_10,CLUSTER_0,CLUSTER_1
clf,sklearn.naive_bayes.GaussianNB,CLUSTER_10,CLUSTER_4,CLUSTER_10,CLUSTER_0,CLUSTER_1
clf,sklearn.ensemble.RandomForestClassifier,CLUSTER_10,CLUSTER_4,CLUSTER_10,CLUSTER_0,CLUSTER_1
a,numpy.array,CLUSTER_10,CLUSTER_4,CLUSTER_10,CLUSTER_0,CLUSTER_1
last,numpy.concatenate,CLUSTER_10,CLUSTER_4,CLUSTER_10,CLUSTER_0,CLUSTER_1
current,numpy.multiply,CLUSTER_10,CLUSTER_4,CLUSTER_10,CLUSTER_0,CLUSTER_1
last,numpy.multiply,CLUSTER_10,CLUSTER_4,CLUSTER_10,CLUSTER_0,CLUSTER_1
last,numpy.multiply,CLUSTER_10,CLUSTER_4,CLUSTER_10,CLUSTER_0,CLUSTER_1
clf,sklearn.svm.SVC,CLUSTER_10,CLUSTER_4,CLUSTER_10,CLUSTER_0,CLUSTER_1
chromosome_state_x,random.choice,CLUSTER_10,CLUSTER_4,CLUSTER_10,CLUSTER_0,CLUSTER_1
pos,random.choice,CLUSTER_10,CLUSTER_4,CLUSTER_10,CLUSTER_0,CLUSTER_1
pos,random.choice,CLUSTER_10,CLUSTER_4,CLUSTER_10,CLUSTER_0,CLUSTER_1
chromosome_state,random.choice,CLUSTER_10,CLUSTER_4,CLUSTER_10,CLUSTER_0,CLUSTER_1
pos,random.choice,CLUSTER_10,CLUSTER_4,CLUSTER_10,CLUSTER_0,CLUSTER_1
B,scipy.linalg.solve,CLUSTER_2,CLUSTER_8,CLUSTER_7,CLUSTER_0,CLUSTER_1
